2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationFactory.parseConfiguration(150) | Configuring ehcache from InputStream
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.BeanHandler.setAttribute(271) | Ignoring ehcache attribute xmlns:xsi
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.BeanHandler.setAttribute(271) | Ignoring ehcache attribute xsi:noNamespaceSchemaLocation
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.DiskStoreConfiguration.translatePath(141) | Disk Store Path: cache/session
2013-06-26 17:54:13 DEBUG net.sf.ehcache.util.PropertyUtil.parseProperties(87) | propertiesString is null.
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheManagerEventListener(185) | No CacheManagerEventListenerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createBootstrapCacheLoader(1001) | No BootstrapCacheLoaderFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createCacheWriter(975) | CacheWriter factory not configured. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheExceptionHandler(96) | No CacheExceptionHandlerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createBootstrapCacheLoader(1001) | No BootstrapCacheLoaderFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createCacheWriter(975) | CacheWriter factory not configured. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheExceptionHandler(96) | No CacheExceptionHandlerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createBootstrapCacheLoader(1001) | No BootstrapCacheLoaderFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createCacheWriter(975) | CacheWriter factory not configured. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheExceptionHandler(96) | No CacheExceptionHandlerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createBootstrapCacheLoader(1001) | No BootstrapCacheLoaderFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createCacheWriter(975) | CacheWriter factory not configured. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheExceptionHandler(96) | No CacheExceptionHandlerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createBootstrapCacheLoader(1001) | No BootstrapCacheLoaderFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createCacheWriter(975) | CacheWriter factory not configured. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheExceptionHandler(96) | No CacheExceptionHandlerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createBootstrapCacheLoader(1001) | No BootstrapCacheLoaderFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.createCacheWriter(975) | CacheWriter factory not configured. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheExceptionHandler(96) | No CacheExceptionHandlerFactory class specified. Skipping...
2013-06-26 17:54:13 DEBUG net.sf.ehcache.store.MemoryStore.<init>(206) | Initialized net.sf.ehcache.store.NotifyingMemoryStore for getGameCode
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE_BYTES
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_DISK_SIZE
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_DISK_SIZE_BYTES
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: WRITER_QUEUE_LENGTH
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: REMOTE_SIZE
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: OFFHEAP_GET
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: OFFHEAP_PUT
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: OFFHEAP_REMOVE
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: DISK_GET
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: DISK_PUT
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: DISK_REMOVE
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: XA_COMMIT
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: XA_ROLLBACK
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardOperationStatistics(155) | Mocking Operation Statistic: XA_RECOVERY
2013-06-26 17:54:13 DEBUG net.sf.ehcache.Cache.initialise(1207) | Initialised cache: getGameCode
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createCacheDecorators(325) | CacheDecoratorFactory not configured. Skipping for 'getGameCode'.
2013-06-26 17:54:13 DEBUG net.sf.ehcache.config.ConfigurationHelper.createDefaultCacheDecorators(354) | CacheDecoratorFactory not configured for defaultCache. Skipping for 'getGameCode'.
2013-06-26 17:54:13 DEBUG net.sf.ehcache.store.MemoryStore.<init>(206) | Initialized net.sf.ehcache.store.NotifyingMemoryStore for getClient
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_OFFHEAP_SIZE_BYTES
2013-06-26 17:54:13 DEBUG net.sf.ehcache.statistics.extended.ExtendedStatisticsImpl.findStandardPassThruStatistics(169) | Mocking Pass-Through Statistic: LOCAL_DISK_SIZE
